product,answer_option,review_score
shampoo,"Wash your head within 3 days for sometimes Or just someday in 2 days when you see more dandruff. its matter of few days you see your hair fall, but I didn see any of my hair falling Thankyou",0.9904761904761905
shampoo,"I was diagnosed with Seborrheic Dermatitis a decade ago and had been recommended this shampoo for control and management of the condition. A decade later I started experiencing pimples on my forehead from dandruff fall-out and turned to this shampoo again I saw a decrease in pimples in just 3 washes. Would definitely recommend for short-term use, as the shampoo is high on chemicals Would suggets the use of a conditioned post wash as the shampoo is extremely drying",0.9809523809523809
shampoo,Like product is as expected Dislike- no immediate relief or assured relief,0.9714285714285714
shampoo,It really helps to relieve dandruff and itching,0.9619047619047619
shampoo,At first the Dandruff disappears - - but it reappear if the shampoo is not used for about a week. Hence I am not fully convinced about its efficacy in eradicating dandruff fully,0.9142857142857143
shampoo,When I’m using in the beginning I get more hair fall bad after few days my problem was solved,0.9047619047619048
shampoo,I've too much dandruff and acne on my scalp ...and I'm using this from last 1 month but I didn get better result till now,0.9047619047619048
shampoo,Excellent outstanding product,0.8952380952380953
shampoo,I am using very offen last 6 yes its fantastic result on Dandruff free hair and smooth,0.8857142857142857
shampoo,it is a best recommended anti dandruff shampoo I have used ever yes it is a bit costly but the results are good,0.8857142857142857
shampoo,Scalpe shampoo is effective on the DANDRUFF the basic necessity for which it is recommended The part which hurts is the Cost of the product which is too steep and there is no alternative hence it becomes a necessity,0.8761904761904762
shampoo,I ly this shampoo..n also remove dandruff frm hairs,0.8666666666666667
shampoo,Amazing results in just 4 wash Definitely recommended,0.8666666666666667
shampoo,My hair getting dry after using it . It has side effects and can whitish your hair. Consult doctor for recommendation.,0.8571428571428571
shampoo,This shampoo prescribed by doctor for my son to avoid dandruff and it works perfectly,0.8380952380952381
shampoo,The shampoo is working and the quantity of dandruff has reduced I am looking forward for complete protection and excited,0.8380952380952381
shampoo,Its really stops head itching n selfishness,0.8285714285714286
shampoo,"its a good conditioned but not effective on dandruff, my scaling is gone..good",0.8285714285714286
shampoo,This Shampoo is good quality n anti dandruff shampoo its working up to 80 percent,0.8285714285714286
shampoo,Scalpe anti dandruff shampoo is clinically advised for dandruff and it really works than any other shampoo in market,0.819047619047619
shampoo,its a great shampoo for dandruff,0.819047619047619
shampoo,Its good product for hair and scalp,0.7714285714285715
shampoo,Liked it very nicely working now my scalp is anti dandruff..,0.7714285714285715
shampoo,Best in hair scalp problem just wash,0.7619047619047619
shampoo,It really does help but the bottle is only apt for three washes.,0.7619047619047619
shampoo,Always check my hair now see my hair no dandruff so happy,0.7523809523809524
shampoo,Quite effective and also doesn dry the hair on usage,0.7428571428571429
shampoo,Super sampoo for those person who has rainfall problem,0.7142857142857143
shampoo,Good working for dandruff and icthing...all problems are solved,0.6952380952380952
shampoo,Good for dandruff and scalpe problem,0.6857142857142857
shampoo,No solution my hair iam sorry no less of dandruff,0.6857142857142857
shampoo,Worked really well for fungal infection,0.6761904761904762
shampoo,Its good but it makes scalpe dry,0.6666666666666666
shampoo,Good.. Plz launch in different flavors,0.6571428571428571
shampoo,Good for seborrheic dermatitis,0.6476190476190476
shampoo,Price is so high reduce price,0.6476190476190476
shampoo,Good shampoo.Helps to keep dandruff under control,0.638095238095238
shampoo,Almost half a bottle is needed for one day use. donot foam..,0.638095238095238
shampoo,Nice for anti dandruff,0.6285714285714286
shampoo,There is no difference in the dandruff after using this shampoo,0.6190476190476191
shampoo,No use... Wash ur hair with water.. that much better,0.6095238095238096
shampoo,Good for dandruff control,0.6
shampoo,It prevents scales formation on head skin and dandruff,0.6
shampoo,After 2 to 3 usage it has cleared up my dandruff fully,0.5904761904761905
shampoo,Works well with my hair oil to decrease dandruff,0.580952380952381
shampoo,Not improvement in my hair,0.5619047619047619
shampoo,It dose not effect on scalp,0.5428571428571428
shampoo,I like it.use of it to reduce dandruff.,0.5428571428571428
shampoo,This shampoo doesn remove dandruff,0.5333333333333333
shampoo,Solve my problem in one wash,0.5142857142857142
shampoo,Not work as it explained about that .,0.49523809523809526
shampoo,Shampoo is good for reducing dandruf,0.45714285714285713
shampoo,Need to repeatedly keep using it,0.45714285714285713
shampoo,It is better but not a permanent solution for dandruff,0.4380952380952381
shampoo,its my regular choice,0.42857142857142855
shampoo,It doesn work,0.41904761904761906
shampoo,Received next day,0.41904761904761906
shampoo,No benefit this item,0.41904761904761906
shampoo,shampoo seems fine..its same as i use to purchase from the local medical shop,0.4095238095238095
shampoo,It does what it says,0.4095238095238095
shampoo,The price is high.the shampoo is very good,0.4
shampoo,Not working as asspacted,0.4
shampoo,Reduce dandruff in few days,0.38095238095238093
shampoo,want say anything now,0.38095238095238093
shampoo,Product is good but expensive,0.37142857142857144
shampoo,We are using regularly,0.3619047619047619
shampoo,Good you can see the results with in second and third use,0.3523809523809524
shampoo,Price is very high,0.34285714285714286
shampoo,The bottle content is very less thoughts like already used,0.34285714285714286
shampoo,"Best therapy of dandruff, I like it.",0.3333333333333333
shampoo,Good Anti dandruff,0.3333333333333333
shampoo,It is effective but costly,0.3238095238095238
shampoo,Not to much effective,0.3142857142857143
shampoo,It work good,0.29523809523809524
shampoo,Really like this shampoo..this does perfectly what it demand to do..,0.29523809523809524
shampoo,Not so effective,0.2857142857142857
shampoo,It is really effective,0.26666666666666666
shampoo,Its not much effective as it has been stated in product description.,0.26666666666666666
shampoo,its actually helpful indeed,0.2571428571428571
shampoo,It is a great product for dealing with dandruff,0.2571428571428571
shampoo,It is very useful for who are effecting by dandruff,0.2571428571428571
shampoo,Good but not very effective,0.23809523809523808
shampoo,Nice product and I got a very good result from the product.,0.22857142857142856
shampoo,Very nice product,0.21904761904761905
shampoo,I liked its on time delivery n price.,0.19047619047619047
shampoo,Quality and Right product was made available and within stipulated period of time.,0.1619047619047619
shampoo,Is it not an immediate solution for dandraft. We may need to use it for longer time. We need a quick and effective remedy,0.11428571428571428
shampoo,Excellent service and cost also,0.10476190476190476
shampoo,The Package is really good,0.10476190476190476
shampoo,Delivery not in time,0.08571428571428572
shampoo,I m using 4 time,0.08571428571428572
shampoo,Not supply in time,0.08571428571428572
shampoo,I used it many times but dandruff not cured permanently Although it relief but not a permanent solution for me.,0.06666666666666667
shampoo,good product but it remove dandruff if you use this for long time,0.06666666666666667
shampoo,Please verify that vendor right product pack or not,0.06666666666666667
shampoo,I have been advised by the owner of the product that it will give me relief for 72 hours for the use and may use for a month and after that one week once is to used But in my experience it is useful for only six hours and after that itching is starting,0.06666666666666667
shampoo,"Excellent Cost, please provide free delivery if cost is less than 500 also it will be mostly helpful",0.06666666666666667
shampoo,Like the timely delivery,0.05714285714285714
shampoo,Discount was less than other online sites,0.05714285714285714
shampoo,Before sending to customer PL.go thou order.carefully see the quantity ordered n quantity send To avoid interaction with executive,0.05714285714285714
shampoo,i wanted a good antidandruff hair treatment as my scalp was getting dry very often and troubled by itching scalp at times but no flakes initialy was found good result but later the same,0.047619047619047616
shampoo,Excellent service.. delivery time can be improved,0.047619047619047616
shampoo,Delivery time can improve,0.0380952380952381
shampoo,The delivery person was lazy,0.01904761904761905
shampoo,Not worth to buy online if your order value is less Chant ₹500 because of the logistics charges Also courier partner dont accept card only cash So there is scope of improvement in supply chain and payment,0.009523809523809525
Supradyn,It was very helpful to be active,0.9863013698630136
Supradyn,I take it more for its trace minerals and its extremely low price.it has proved to be a good vitamin supplement,0.9452054794520548
Supradyn,It is good but have to take 2 if you lookout else go for a single tab with breakfast and drink at least 4 its water per day,0.9452054794520548
Supradyn,Supradyn Tablet being multi vitamin and multi mineral tablet is good for health and some improvement may be done by adding some traces of selenium and other essentials,0.9315068493150684
Supradyn,"Tablet is good , its size is small easy to swallow After consuming the tablet I didn feel giddiness and was active throughout the day and no side effects .",0.9178082191780822
Supradyn,Felt a little lesser sweet as compared to pharmacy from the stores but was nice as price is also descent for,0.9178082191780822
Supradyn,A good value for money for vitamin supplement !,0.9041095890410958
Supradyn,its a value medicine and cheap in alternatives of vitamin tablet.,0.8904109589041096
